,id,query,label,tokened,token
0,0,شرایط حذف ترم چیه,1,"['شرایط', 'حذف', 'ترم', 'چیه']","['شرایط', 'حذف', 'ترم', 'چیه']"
1,1,از کجا می تونم با دکتر وحیدی ارتباط برقرار کنم,2,"['از', 'کجا', 'می', 'تونم', 'با', 'دکتر', 'وحیدی', 'ارتباط', 'برقرار', 'کنم']","['از', 'کجا', 'می', 'تونم', 'با', 'دکتر', 'وحیدی', 'ارتباط', 'برقرار', 'کنم']"
2,2,بوفه برداران تا ساعت چند باز است,2,"['بوفه', 'برداران', 'تا', 'ساعت', 'چند', 'باز', 'است']","['بوفه', 'برداران', 'تا', 'ساعت', 'چند', 'باز', 'است']"
3,3,کمترین تعداد واحد چند عدد است,1,"['کمترین', 'تعداد', 'واحد', 'چند', 'عدد', 'است']","['کمترین', 'تعداد', 'واحد', 'چند', 'عدد', 'است']"
4,4,سنگ جامد است,5,"['سنگ', 'جامد', 'است']","['سنگ', 'جامد', 'است']"
5,5,سرورای دانشکده مشکل دارن,3,"['سرورای', 'دانشکده', 'مشکل', 'دارن']","['سرورای', 'دانشکده', 'مشکل', 'دارن']"
6,6,کلاس آزمایشگاه فیزیک در دانشکده خودمان برگزار میشود یا دانشکده فیزیک,2,"['کلاس', 'آزمایشگاه', 'فیزیک', 'در', 'دانشکده', 'خودمان', 'برگزار', 'میشود', 'یا', 'دانشکده', 'فیزیک']","['کلاس', 'آزمایشگاه', 'فیزیک', 'در', 'دانشکده', 'خودمان', 'برگزار', 'میشود', 'یا', 'دانشکده', 'فیزیک']"
7,7,شرایط حذف پزشکی چیه,1,"['شرایط', 'حذف', 'پزشکی', 'چیه']","['شرایط', 'حذف', 'پزشکی', 'چیه']"
8,8,در شرایطی ساعت و روز کلاسی جابجا می شود,1,"['در', 'شرایطی', 'ساعت', 'و', 'روز', 'کلاسی', 'جابجا', 'می', 'شود']","['در', 'شرایطی', 'ساعت', 'و', 'روز', 'کلاسی', 'جابجا', 'می', 'شود']"
9,9,سطل آشغال در کلاس وجود ندارد,4,"['سطل', 'آشغال', 'در', 'کلاس', 'وجود', 'ندارد']","['سطل', 'آشغال', 'در', 'کلاس', 'وجود', 'ندارد']"
10,10,در حذف و اضافه چند واحد میتوانم بردارم,1,"['در', 'حذف', 'و', 'اضافه', 'چند', 'واحد', 'میتوانم', 'بردارم']","['در', 'حذف', 'و', 'اضافه', 'چند', 'واحد', 'میتوانم', 'بردارم']"
11,11,پارک علم و فناوری چیه,5,"['پارک', 'علم', 'و', 'فناوری', 'چیه']","['پارک', 'علم', 'و', 'فناوری', 'چیه']"
12,12,بازه امتحانات چه زمانی است,1,"['بازه', 'امتحانات', 'چه', 'زمانی', 'است']","['بازه', 'امتحانات', 'چه', 'زمانی', 'است']"
13,13,چطوری بفهمم مدارکم کامله یا نه ,1,"['چطوری', 'بفهمم', 'مدارکم', 'کامله', 'یا', 'نه']","['چطوری', 'بفهمم', 'مدارکم', 'کامله', 'یا', 'نه']"
14,14,انتخاب واحد برای ورودی برای نیم فصل اول چه زمانی است,1,"['انتخاب', 'واحد', 'برای', 'ورودی', 'برای', 'نیم', 'فصل', 'اول', 'چه', 'زمانی', 'است']","['انتخاب', 'واحد', 'برای', 'ورودی', 'برای', 'نیم', 'فصل', 'اول', 'چه', 'زمانی', 'است']"
15,15,زمان انتخاب واحد کیه,1,"['زمان', 'انتخاب', 'واحد', 'کیه']","['زمان', 'انتخاب', 'واحد', 'کیه']"
16,16,میشه ماشین اورد تو دانشگاه یا نه,5,"['میشه', 'ماشین', 'اورد', 'تو', 'دانشگاه', 'یا', 'نه']","['میشه', 'ماشین', 'اورد', 'تو', 'دانشگاه', 'یا', 'نه']"
17,17,خوابگاه کجاست,2,"['خوابگاه', 'کجاست']","['خوابگاه', 'کجاست']"
18,18,کتابخانه کجاست,2,"['کتابخانه', 'کجاست']","['کتابخانه', 'کجاست']"
19,19,زباله های خوابگاه را چه ساعتی باید گذاشت دم در,5,"['زباله', 'های', 'خوابگاه', 'را', 'چه', 'ساعتی', 'باید', 'گذاشت', 'دم', 'در']","['زباله', 'های', 'خوابگاه', 'را', 'چه', 'ساعتی', 'باید', 'گذاشت', 'دم', 'در']"
20,20,رئیس سابق دانشکده چه شخصی است,2,"['رئیس', 'سابق', 'دانشکده', 'چه', 'شخصی', 'است']","['رئیس', 'سابق', 'دانشکده', 'چه', 'شخصی', 'است']"
21,21,زیراکس کجا واقع شده,2,"['زیراکس', 'کجا', 'واقع', 'شده']","['زیراکس', 'کجا', 'واقع', 'شده']"
22,22,نحوه ی پخت قرمه سبزی را توضیح بده,5,"['نحوه', 'ی', 'پخت', 'قرمه', 'سبزی', 'را', 'توضیح', 'بده']","['نحوه', 'ی', 'پخت', 'قرمه', 'سبزی', 'را', 'توضیح', 'بده']"
23,23,طبقه دوم گرم کن داره,2,"['طبقه', 'دوم', 'گرم', 'کن', 'داره']","['طبقه', 'دوم', 'گرم', 'کن', 'داره']"
24,24,چند واحد می تونم هر ترم انتخاب کنم,1,"['چند', 'واحد', 'می', 'تونم', 'هر', 'ترم', 'انتخاب', 'کنم']","['چند', 'واحد', 'می', 'تونم', 'هر', 'ترم', 'انتخاب', 'کنم']"
25,25,اتاق بازی و فوتبال دستیو برگردونید,4,"['اتاق', 'بازی', 'و', 'فوتبال', 'دستیو', 'برگردونید']","['اتاق', 'بازی', 'و', 'فوتبال', 'دستیو', 'برگردونید']"
26,26,استاد محمدی رفتار بسیار محترمانه ای با دانشجو دارد,4,"['استاد', 'محمدی', 'رفتار', 'بسیار', 'محترمانه', 'ای', 'با', 'دانشجو', 'دارد']","['استاد', 'محمدی', 'رفتار', 'بسیار', 'محترمانه', 'ای', 'با', 'دانشجو', 'دارد']"
27,27,دانلود فیلم manchester by the sea,5,"['دانلود', 'فیلم', 'manchester', 'by', 'the', 'sea']","['دانلود', 'فیلم', 'manchester', 'by', 'the', 'sea']"
28,28,شماره اتاق دکتر شمس فرد چند است,2,"['شماره', 'اتاق', 'دکتر', 'شمس', 'فرد', 'چند', 'است']","['شماره', 'اتاق', 'دکتر', 'شمس', 'فرد', 'چند', 'است']"
29,29,زمین چمن دانشگاه کی سانس خالی داره,5,"['زمین', 'چمن', 'دانشگاه', 'کی', 'سانس', 'خالی', 'داره']","['زمین', 'چمن', 'دانشگاه', 'کی', 'سانس', 'خالی', 'داره']"
30,30,از دانشگاه چطور می تونم برم ترمینال,5,"['از', 'دانشگاه', 'چطور', 'می', 'تونم', 'برم', 'ترمینال']","['از', 'دانشگاه', 'چطور', 'می', 'تونم', 'برم', 'ترمینال']"
31,31,چرا فضای لابی را از دانشجو ها گرفتید,4,"['چرا', 'فضای', 'لابی', 'را', 'از', 'دانشجو', 'ها', 'گرفتید']","['چرا', 'فضای', 'لابی', 'را', 'از', 'دانشجو', 'ها', 'گرفتید']"
32,32,گروه های علمی کجان ,2,"['گروه', 'های', 'علمی', 'کجان']","['گروه', 'های', 'علمی', 'کجان']"
33,33,برخی از صندلی های کلاس ها خرابه لطفا تعمیر بشه,4,"['برخی', 'از', 'صندلی', 'های', 'کلاس', 'ها', 'خرابه', 'لطفا', 'تعمیر', 'بشه']","['برخی', 'از', 'صندلی', 'های', 'کلاس', 'ها', 'خرابه', 'لطفا', 'تعمیر', 'بشه']"
34,34,امتحان ها کی شروع می شوند,1,"['امتحان', 'ها', 'کی', 'شروع', 'می', 'شوند']","['امتحان', 'ها', 'کی', 'شروع', 'می', 'شوند']"
35,35,توی گلستان اجازه دیدن رتبه معدل در بین ورودی ها رو بدین,4,"['توی', 'گلستان', 'اجازه', 'دیدن', 'رتبه', 'معدل', 'در', 'بین', 'ورودی', 'ها', 'رو', 'بدین']","['توی', 'گلستان', 'اجازه', 'دیدن', 'رتبه', 'معدل', 'در', 'بین', 'ورودی', 'ها', 'رو', 'بدین']"
36,36,حذف و اضافه کی هست,1,"['حذف', 'و', 'اضافه', 'کی', 'هست']","['حذف', 'و', 'اضافه', 'کی', 'هست']"
37,37,نمره درس کارآموزی توی معدل حساب میشه,1,"['نمره', 'درس', 'کارآموزی', 'توی', 'معدل', 'حساب', 'میشه']","['نمره', 'درس', 'کارآموزی', 'توی', 'معدل', 'حساب', 'میشه']"
38,38,ثبت نام کجاست,1,"['ثبت', 'نام', 'کجاست']","['ثبت', 'نام', 'کجاست']"
39,39,زمان درس افزار خرابه,4,"['زمان', 'درس', 'افزار', 'خرابه']","['زمان', 'درس', 'افزار', 'خرابه']"
40,40,چرا گلستان اجازه ی برداشتن این گروه را نمیدهد,1,"['چرا', 'گلستان', 'اجازه', 'ی', 'برداشتن', 'این', 'گروه', 'را', 'نمیدهد']","['چرا', 'گلستان', 'اجازه', 'ی', 'برداشتن', 'این', 'گروه', 'را', 'نمیدهد']"
41,41,معدل لازم برای مشروط نشدن چقدره,1,"['معدل', 'لازم', 'برای', 'مشروط', 'نشدن', 'چقدره']","['معدل', 'لازم', 'برای', 'مشروط', 'نشدن', 'چقدره']"
42,42,برای مهمان شدن در دانشگاه دیگر باید چه کاری انجام دهم,1,"['برای', 'مهمان', 'شدن', 'در', 'دانشگاه', 'دیگر', 'باید', 'چه', 'کاری', 'انجام', 'دهم']","['برای', 'مهمان', 'شدن', 'در', 'دانشگاه', 'دیگر', 'باید', 'چه', 'کاری', 'انجام', 'دهم']"
43,43,غذا امروز چیه,5,"['غذا', 'امروز', 'چیه']","['غذا', 'امروز', 'چیه']"
44,44,کدوم استاد این ترم ریاضی ارایه میده,1,"['کدوم', 'استاد', 'این', 'ترم', 'ریاضی', 'ارایه', 'میده']","['کدوم', 'استاد', 'این', 'ترم', 'ریاضی', 'ارایه', 'میده']"
45,45,لابی کجاست,2,"['لابی', 'کجاست']","['لابی', 'کجاست']"
46,46,استخر کجاست,5,"['استخر', 'کجاست']","['استخر', 'کجاست']"
47,47,سایت اسکنر دارد,3,"['سایت', 'اسکنر', 'دارد']","['سایت', 'اسکنر', 'دارد']"
48,48,درس گرافیک کامپیوتری را ترم بعدی ارائه میدهید,1,"['درس', 'گرافیک', 'کامپیوتری', 'را', 'ترم', 'بعدی', 'ارائه', 'میدهید']","['درس', 'گرافیک', 'کامپیوتری', 'را', 'ترم', 'بعدی', 'ارائه', 'میدهید']"
